,src,dst,time,ext_roll
7052,17,8,1065,0
7053,17,11,1065,0
7054,17,14,1065,0
7055,17,18,1065,0
7056,17,21,1065,0
7057,18,2,1065,0
7058,18,3,1065,0
7059,18,4,1065,0
7060,18,6,1065,0
7061,18,8,1065,0
7062,18,11,1065,0
7063,18,14,1065,0
7064,18,21,1065,0
7065,20,2,1065,0
7066,20,3,1065,0
7067,20,4,1065,0
7068,20,6,1065,0
7069,20,8,1065,0
7070,20,11,1065,0
7071,20,14,1065,0
7072,20,18,1065,0
7073,20,21,1065,0
7074,21,2,1065,0
7075,21,3,1065,0
7076,21,4,1065,0
7077,21,6,1065,0
7078,21,8,1065,0
7079,21,11,1065,0
7080,21,14,1065,0
7081,21,18,1065,0
7082,28,11,1069,0
7083,28,21,1069,0
7084,11,28,1070,0
7085,11,18,1070,0
7086,11,21,1070,0
7087,21,28,1070,0
7088,21,11,1070,0
7089,21,18,1070,0
7090,28,24,1071,0
7091,28,3,1071,0
7092,28,4,1071,0
7093,28,5,1071,0
7094,28,6,1071,0
7095,28,10,1071,0
7096,28,21,1071,0
7097,11,24,1071,0
7098,11,3,1071,0
7099,11,4,1071,0
7100,11,5,1071,0
7101,11,6,1071,0
7102,11,10,1071,0
7103,11,21,1071,0
7104,18,24,1071,0
7105,18,3,1071,0
7106,18,4,1071,0
7107,18,5,1071,0
7108,18,6,1071,0
7109,18,10,1071,0
7110,18,21,1071,0
7111,21,24,1071,0
7112,21,3,1071,0
7113,21,4,1071,0
7114,21,5,1071,0
7115,21,6,1071,0
7116,21,10,1071,0
7117,24,14,1072,0
7118,24,17,1072,0
7119,3,14,1072,0
7120,3,17,1072,0
7121,4,14,1072,0
7122,4,17,1072,0
7123,5,14,1072,0
7124,5,17,1072,0
7125,6,14,1072,0
7126,6,17,1072,0
7127,10,14,1072,0
7128,10,17,1072,0
7129,21,14,1072,0
7130,21,17,1072,0
7131,28,12,1078,0
7132,12,6,1079,0
7133,29,28,1083,0
7134,2,28,1083,0
7135,3,28,1083,0
7136,4,28,1083,0
7137,5,28,1083,0
7138,6,28,1083,0
7139,9,28,1083,0
7140,10,28,1083,0
7141,12,28,1083,0
7142,13,28,1083,0
7143,14,28,1083,0
7144,15,28,1083,0
7145,16,28,1083,0
7146,17,28,1083,0
7147,18,28,1083,0
7148,20,28,1083,0
7149,21,28,1083,0
7150,28,4,1084,0
7151,28,14,1084,0
7152,28,17,1084,0
7153,4,3,1085,0
7154,4,5,1085,0
7155,4,6,1085,0
7156,4,8,1085,0
7157,4,10,1085,0
7158,4,11,1085,0
7159,4,14,1085,0
7160,4,15,1085,0
7161,4,16,1085,0
7162,4,17,1085,0
7163,4,18,1085,0
7164,4,20,1085,0
7165,4,21,1085,0
7166,14,3,1085,0
7167,14,4,1085,0
7168,14,5,1085,0
7169,14,6,1085,0
7170,14,8,1085,0
7171,14,10,1085,0
7172,14,11,1085,0
7173,14,15,1085,0
7174,14,16,1085,0
7175,14,17,1085,0
7176,14,18,1085,0
7177,14,20,1085,0
7178,14,21,1085,0
7179,17,3,1085,0
7180,17,4,1085,0
7181,17,5,1085,0
7182,17,6,1085,0
7183,17,8,1085,0
7184,17,10,1085,0
7185,17,11,1085,0
7186,17,14,1085,0
7187,17,15,1085,0
7188,17,16,1085,0
7189,17,18,1085,0
7190,17,20,1085,0
7191,17,21,1085,0
7192,3,27,1086,0
7193,3,28,1086,0
7194,3,2,1086,0
7195,3,4,1086,0
7196,3,17,1086,0
7197,4,27,1086,0
7198,4,28,1086,0
7199,4,2,1086,0
7200,4,3,1086,0
7201,4,17,1086,0
7202,5,27,1086,0
7203,5,28,1086,0
7204,5,2,1086,0
7205,5,3,1086,0
7206,5,4,1086,0
7207,5,17,1086,0
7208,6,27,1086,0
7209,6,28,1086,0
7210,6,2,1086,0
7211,6,3,1086,0
7212,6,4,1086,0
7213,6,17,1086,0
7214,8,27,1086,0
7215,8,28,1086,0
7216,8,2,1086,0
7217,8,3,1086,0
7218,8,4,1086,0
7219,8,17,1086,0
7220,10,27,1086,0
7221,10,28,1086,0
7222,10,2,1086,0
7223,10,3,1086,0
7224,10,4,1086,0
7225,10,17,1086,0
7226,11,27,1086,0
7227,11,28,1086,0
7228,11,2,1086,0
7229,11,3,1086,0
7230,11,4,1086,0
7231,11,17,1086,0
7232,14,27,1086,0
7233,14,28,1086,0
7234,14,2,1086,0
7235,14,3,1086,0
7236,14,4,1086,0
7237,14,17,1086,0
7238,15,27,1086,0
7239,15,28,1086,0
7240,15,2,1086,0
7241,15,3,1086,0
7242,15,4,1086,0
7243,15,17,1086,0
7244,16,27,1086,0
7245,16,28,1086,0
7246,16,2,1086,0
7247,16,3,1086,0
7248,16,4,1086,0
7249,16,17,1086,0
7250,17,27,1086,0
7251,17,28,1086,0
7252,17,2,1086,0
7253,17,3,1086,0
7254,17,4,1086,0
7255,18,27,1086,0
7256,18,28,1086,0
7257,18,2,1086,0
7258,18,3,1086,0
7259,18,4,1086,0
7260,18,17,1086,0
7261,20,27,1086,0
7262,20,28,1086,0
7263,20,2,1086,0
7264,20,3,1086,0
7265,20,4,1086,0
7266,20,17,1086,0
7267,21,27,1086,0
7268,21,28,1086,0
7269,21,2,1086,0
7270,21,3,1086,0
7271,21,4,1086,0
7272,21,17,1086,0
7273,14,10,1091,0
7274,17,10,1091,0
7275,10,24,1092,0
7276,10,28,1092,0
7277,10,4,1092,0
7278,10,17,1092,0
7279,24,5,1093,0
7280,24,6,1093,0
7281,24,12,1093,0
7282,24,16,1093,0
7283,24,18,1093,0
7284,28,5,1093,0
7285,28,6,1093,0
7286,28,12,1093,0
7287,28,16,1093,0
7288,28,18,1093,0
7289,4,5,1093,0
7290,4,6,1093,0
7291,4,12,1093,0
7292,4,16,1093,0
7293,4,18,1093,0
7294,10,5,1093,0
7295,10,6,1093,0
7296,10,12,1093,0
7297,10,16,1093,0
7298,10,18,1093,0
7299,17,5,1093,0
7300,17,6,1093,0
7301,17,12,1093,0
7302,17,16,1093,0
7303,17,18,1093,0
7304,3,4,1098,0
